artistName_title,wikiData_id,student,studentOf,,,,,,,
東西庵南北,Q30933123,,,,,,,,,
昇斎一景,Q11511915,,,,,,,,,
田井耕耘,Q11576106,,,,,,,,,
竹原春朝斎,Q11599029,,,,,,,,,
五粽亭広貞,Q931356,,['Q3075025'],,,,,,,
月岡雪鼎,Q11516064,"['Q11621791', 'Q11473630', 'Q11429425', 'Q11539371', 'Q11536644']",['Q11672119'],,,,,,,
歌川貞虎,Q11545219,,,,,,,,,
六花亭富雪,Q62085177,,,,,,,,,
歌川重昌,Q11545221,,['Q200798'],,,,,,,
歌川国政,,,,,,,,,,
葛飾北為,Q11621044,,,,,,,,,
勝川春常,Q11400286,,['Q1358636'],,,,,,,
歌川豊国 (4代目),,,,,,,,,,
渓斎英泉,Q3046492,,,,,,,,,
小林清親,Q3121142,"['Q11372959', 'Q11576386', 'Q290921', 'Q3541630', 'Q11356721', 'Q11603609']","['Q2838030', 'Q2386947', 'Q11559767', 'Q1324419', 'Q1066490']",,,,,,,
歌川芳員,Q11545174,,"['Q317736', 'Q177837']",,,,,,,
歌川広景,Q3552725,,['Q200798'],,,,,,,
一筆斎文調,Q3154222,,,,,,,,,
歌川国貞 (3代目),,,,,,,,,,
歌川国兼,Q30929422,,,,,,,,,
歌川豊国 (4代目),,,,,,,,,,
歌川国貞,Q467427,"['Q3075025', 'Q3552728', 'Q11545145', 'Q177837']",['Q950316'],,,,,,,
勝川春章,Q1358636,"['Q3075055', 'Q3194229', 'Q2799156', 'Q11400288', 'Q11400292', 'Q11400286', 'Q11400291', 'Q11400289', 'Q5586']","['Q3072449', 'Q22669168']",,,,,,,
栄松斎長喜,Q3049506,,,,,,,,,
一酔斎,Q61058070,,,,,,,,,
柳川信政,Q33318608,,,,,,,,,
歌川国朝,Q30928839,,,,,,,,,
勝川春好 (2代目),Q3074344,,,,,,,,,
歌川豊国 (2代目),,,,,,,,,,
歌川国郷,Q18508462,,,,,,,,,
歌川貞升,Q3075025,['Q931356'],['Q467427'],,,,,,,
尾形月耕,Q2574296,['Q11469479'],,,,,,,,
歌川豊国 (4代目),,,,,,,,,,
寿好堂よし国,Q11458310,"['Q30938013', 'Q30938018', 'Q30938023', 'Q30938160', 'Q30938164', 'Q30938172']",,,,,,,,
歌川国芳,,,,,,,,,,
歌川豊国,,,,,,,,,,
小林永濯,Q2784105,"['Q467337', 'Q38283', 'Q11461704', 'Q11456902']",['Q11571474'],,,,,,,
耳鳥斎,Q11610745,,,,,,,,,
清谷,Q11561394,,,,,,,,,
菊川英山,Q947896,,,,,,,,,
長谷川小信 (2代目),,,,,,,,,,
月岡耕漁,Q3201273,,['Q11531144'],,,,,,,
長谷川貞春,Q30937989,,"['Q11653981', 'Q177837']",,,,,,,
歌川国孝,Q20038895,,,,,,,,,
画登軒春芝,Q3099308,,,,,,,,,
武田幾丸,Q11546167,,['Q2482193'],,,,,,,
歌川国綱,Q11545143,,['Q950316'],,,,,,,
一梅斎芳峰,Q18700604,,,,,,,,,
歌川広重,,,,,,,,,,
東洲勝月,Q11527720,,,,,,,,,
歌川貞芳,Q11545217,,,,,,,,,
歌川芳艶 (2代目),,,,,,,,,,
春川五七,Q11513489,,,,,,,,,
吉田博,Q2916723,,,,,,,,,
喜多川秀麿,Q11419136,,,,,,,,,
宮川春汀,Q11454696,,['Q11456902'],,,,,,,
春徳斎利英,Q30933235,,,,,,,,,
右田年英,Q3075003,"['Q17229984', 'Q177837', 'Q22126573', 'Q177837', 'Q11380088', 'Q177837', 'Q24864078', 'Q177837']","['Q467337', 'Q177837']",,,,,,,
長谷川宗広,Q48760405,,,,,,,,,
祇園井特,Q11588421,,,,,,,,,
長谷川貞信 (2代目),,,,,,,,,,
歌川国福,Q11545141,,,,,,,,,
